municipality,year,sampi_headcount,sampi_intensity,population
862,2001,0.338,0.433,143077
863,2001,0.271,0.435,80737
864,2001,0.185,0.424,103265
865,2001,0.218,0.424,38618
866,2001,0.196,0.443,221747
867,2001,0.2,0.426,56335
868,2001,0.152,0.454,276413
869,2001,0.12,0.441,142772
870,2001,0.135,0.403,43007
871,2001,0.158,0.434,256583
872,2001,0.142,0.434,243313
873,2001,0.142,0.416,81681
874,2001,0.167,0.434,476903
875,2001,0.189,0.417,53744
876,2001,0.3,0.427,334668
877,2001,0.243,0.441,500128
960,2001,0.304,0.447,240729
961,2001,0.254,0.423,218873
962,2001,0.24,0.436,375586
963,2001,0.207,0.457,131536
964,2001,0.276,0.438,94383
965,2001,0.345,0.449,82893
966,2001,0.27,0.446,581487
967,2001,0.202,0.409,39310
968,2001,0.218,0.434,494264
969,2001,0.26,0.425,171721
970,2001,0.203,0.419,146872
973,2001,0.154,0.424,109441
974,2001,0.165,0.441,508277
976,2001,0.196,0.435,227970
977,2001,0.23,0.435,65533
978,2001,0.155,0.409,85272
979,2001,0.149,0.42,34541
980,2001,0.237,0.423,69027
981,2001,0.145,0.436,52124
982,2001,0.171,0.43,298439
983,2001,0.169,0.428,121327
984,2001,0.181,0.434,221647
985,2001,0.23,0.43,262005
986,2001,0.237,0.421,92598
987,2001,0.263,0.435,269608
160,2011,0.034,0.424,67147
161,2011,0.028,0.429,49768
162,2011,0.01,0.437,61897
163,2011,0.022,0.41,99193
164,2011,0.01,0.406,113762
165,2011,0.018,0.406,115946
166,2011,0.021,0.425,251262
167,2011,0.038,0.421,155733
168,2011,0.028,0.418,166825
169,2011,0.017,0.424,97724
170,2011,0.025,0.414,35916
171,2011,0.037,0.419,108790
172,2011,0.046,0.428,80432
173,2011,0.021,0.407,33038
174,2011,0.025,0.385,24767
175,2011,0.015,0.394,52642
176,2011,0.032,0.435,89430
177,2011,0.033,0.426,193672
178,2011,0.039,0.412,95933
179,2011,0.063,0.418,49162
180,2011,0.062,0.429,68659
181,2011,0.015,0.373,8289
182,2011,0.025,0.424,13136
183,2011,0.025,0.405,49586
199,2011,0.039,0.428,3740026
260,2011,0.093,0.433,755200
261,2011,0.028,0.417,50993
262,2011,0.047,0.414,36002
263,2011,0.042,0.406,10537
264,2011,0.051,0.423,80390
265,2011,0.074,0.424,61176
266,2011,0.057,0.399,54504
267,2011,0.031,0.409,17761
268,2011,0.059,0.437,98558
269,2011,0.032,0.4,40663
270,2011,0.256,0.41,254909
271,2011,0.207,0.417,252390
272,2011,0.122,0.413,38991
273,2011,0.143,0.415,122778
274,2011,0.146,0.414,72190
276,2011,0.139,0.412,127115
277,2011,0.064,0.426,24264
278,2011,0.03,0.412,65560
279,2011,0.117,0.414,33281
280,2011,0.055,0.419,21971
281,2011,0.071,0.417,190723
282,2011,0.229,0.411,145372
283,2011,0.172,0.414,119460
284,2011,0.274,0.414,155513
285,2011,0.143,0.419,63582
286,2011,0.247,0.411,138141
287,2011,0.145,0.414,134150
288,2011,0.089,0.424,43800
289,2011,0.052,0.429,33677
290,2011,0.273,0.424,278481
291,2011,0.282,0.422,156136
292,2011,0.212,0.411,290390
293,2011,0.214,0.417,188226
294,2011,0.155,0.413,451710
295,2011,0.224,0.416,203843
296,2011,0.253,0.422,191620
297,2011,0.25,0.419,281905
298,2011,0.336,0.419,123976
299,2011,0.046,0.443,1152115
360,2011,0.182,0.418,89530
361,2011,0.089,0.414,93651
362,2011,0.025,0.425,41617
363,2011,0.031,0.399,11982
364,2011,0.025,0.404,47041
365,2011,0.051,0.4,10187
