"municipality","municipality.cat","municipality.name","municipality.mn_name_c","municipality.mn_mdb_c","municipality.category","municipality.dc","municipality.dc_mdb_c","municipality.dc_name","municipality.dc_name_c","municipality.pr","municipality.pr_mdb_c","municipality.pr_name","municipality.albers_are","municipality.shape_leng","municipality.shape_area","municipality.shape_lores_svg"
1,"province",Western Cape,,,,,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg' version='1.1' viewBox='0 0 800 617'><path id='1' d='M 83.6093 544.8383 83.5184 542.8467 81.0619 538.8479 78.3722 536.0995 74.7575 534.0314 73.605 532.2471 77.9677 529.537 74.3631 526.995 71.6009 529.6862 70.3816 526.1763 70.3221 520.9247 68.5295 518.9965 71.3198 517.3188 70.9187 514.6141 73.8537 513.5211 78.588 516.7229 83.7167 515.4875 89.4227 509.4099 91.9846 502.6333 91.1064 494.0665 92.4607 491.6045 90.9167 487.0951 90.803 481.2515 88.7274 475.5634 89.4541 473.799 87.2047 470.0463 86.6822 466.3455 83.1308 461.8206 80.6361 457.3858 71.0856 447.3419 69.967 443.7913 64.1735 437.6483 67.8908 438.8372 66.7736 434.7691 72.3421 430.8377 70.1112 426.6011 75.5824 426.3492 76.2162 420.1722 80.2176 420.009 84.0883 422.9492 86.2346 421.1024 88.6843 421.4842 93.8551 413.7962 93.8604 410.5241 95.9221 407.3877 99.3022 407.1242 100.1987 403.3701 103.4874 402.6841 107.6015 408.8101 112.6121 409.3508 114.4101 412.1117 114.3438 414.1833 117.6566 416.5814 121.9594 417.9195 122.3741 423.7994 118.2576 424.8144 123.5362 427.6606 120.0178 429.2651 119.6162 432.31 121.7514 435.756 121.5994 441.7832 122.6619 444.0684 124.9162 445.095 123.3253 447.496 126.3667 450.8742 125.2389 454.4727 128.4196 455.8137 127.4587 464.504 128.4608 468.7756 125.7605 470.6718 125.9598 472.7346 131.179 474.4729 133.948 474.1187 134.4817 476.215 143.4395 479.4643 149.2136 484.3133 148.0674 490.9587 144.0796 492.7856 145.1015 496.4496 148.303 501.7356 147.84 506.1258 149.8455 511.3483 153.5566 509.2273 154.3742 501.5321 159.6186 500.163 163.1245 497.8056 169.6462 497.0101 177.3619 490.8555 184.3234 489.5934 183.123 493.4193 180.5824 495.7379 179.0583 499.134 176.5264 497.9897 177.3547 503.0988 179.502 509.9191 181.9468 511.9548 181.748 515.1964 183.2687 516.7501 187.181 517.7296 191.059 522.4236 193.8918 524.2747 196.8287 524.3508 199.8252 521.412 201.3188 523.6164 208.0475 524.5141 211.3081 522.0796 212.9469 518.3299 211.0004 514.3418 213.5115 510.8251 219.2537 509.704 223.9717 510.4888 228.6499 509.2021 227.8337 507.3045 229.8643 503.376 234.0931 500.5472 235.7154 498.229 240.8146 496.5978 244.0679 494.7898 248.2372 493.9798 246.9889 489.8371 252.2419 488.8435 254.5194 490.7746 256.6599 488.6647 258.8241 490.8889 262.4282 492.0797 265.7904 491.4233 266.3517 489.53 269.2411 488.5659 270.234 484.2677 272.8041 482.6782 274.0341 478.7836 272.8898 475.7916 274.3466 473.8256 277.4993 473.5529 277.9967 470.0468 282.0232 462.3802 282.6435 458.9923 284.5484 458.5524 293.4254 462.7614 296.7668 463.1287 299.3916 465.3926 297.4209 469.3099 300.9622 470.0928 305.0056 469.013 307.0271 471.8001 310.9989 469.9291 313.0785 472.7138 316.6531 471.99 321.0831 473.439 320.367 475.8148 322.0619 477.3898 324.5697 476.3845 328.9687 472.7099 330.5688 467.9936 332.4548 465.659 337.5191 464.8669 338.2957 463.3331 341.8263 464.3287 352.4243 461.6326 354.4245 463.9905 358.8337 465.614 356.9419 467.2824 360.3341 470.6747 363.7224 467.7509 364.4201 464.5215 367.5864 465.66 369.6388 469.3865 373.5831 468.4912 371.3052 474.2195 374.1521 474.0049 376.9675 476.5832 373.0223 479.2996 371.5127 482.8158 372.7639 484.6979 371.0512 486.6775 364.3267 488.7374 360.9955 491.0837 356.4256 488.1342 350.2615 490.2465 349.2174 493.1702 350.0051 495.4089 339.545 494.3935 337.6527 497.5876 333.9368 495.7437 332.6924 497.9131 328.5458 499.3234 329.6509 503.5954 331.7643 505.4364 332.4011 510.3091 336.1416 518.7015 325.0487 515.878 322.1451 517.4491 322.5646 521.0594 318.1825 521.0182 315.3428 524.7582 314.6877 527.8104 315.6602 530.722 312.6101 534.0401 305.037 546.3028 307.3948 547.3095 314.6669 547.9689 324.3447 545.9574 332.1984 546.0068 334.993 548.5517 341.8026 548.6617 347.0464 551.2274 346.669 554.9151 350.4807 557.4997 350.261 559.7617 344.7012 559.7811 344.0113 561.0688 339.1085 561.9335 338.631 564.0831 340.4686 566.2981 342.881 565.239 349.5251 570.1694 349.1313 574.6701 345.0095 574.7466 339.708 575.8662 336.4126 577.6345 335.9917 580.3805 331.701 580.5515 324.1274 579.5215 319.875 579.7027 314.5251 579.0298 307.1838 576.9679 296.7102 575.4365 293.3286 577.7353 290.773 578.4785 283.8642 578.1049 277.104 579.7419 275.5325 581.1929 273.7636 585.7638 269.9388 585.8501 266.1605 587.5006 264.8005 592.3075 259.6602 594.1954 254.7419 594.7608 246.9739 592.8898 242.8317 593.4309 241.0435 595.0694 235.1203 596.7849 227.5535 594.2066 221.1117 593.3055 216.4136 593.6737 214.021 594.8984 213.7186 598.5086 203.9615 597.4234 198.4791 598.3948 193.3654 601.1291 192.3745 602.9211 185.1943 606.5478 183.9243 609.0345 180.5543 609.4163 176.5307 611.3062 172.1471 615.9987 166.4886 612.73 154.9582 612.2819 152.016 610.5102 149.2441 608.0714 146.0183 607.3394 144.6587 605.2596 140.0676 605.1865 142.6223 601.9779 141.5956 599.1447 137.6107 595.442 134.8576 596.8503 126.5646 592.2028 122.5749 593.2095 115.9235 593.8456 115.1861 590.0993 117.1631 587.16 115.5645 584.6035 117.9058 583.3996 115.2573 580.534 109.5131 579.1184 104.8092 579.3849 98.5992 580.9124 96.5341 584.2092 98.9059 586.7894 97.8313 591.9354 95.3627 590.6264 93.4584 584.557 91.3048 582.6938 93.1734 580.9725 90.9322 577.7222 95.9056 570.7794 98.4119 571.3665 99.548 568.4505 97.6644 565.0549 96.5394 559.9003 88.243 547.8531 83.6093 544.8383 Z'/></svg>"
2,"province",Eastern Cape,,,,,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg' version='1.1' viewBox='0 0 800 617'><path id='2' d='M 654.5652 420.989 654.5787 420.9992 655.2909 422.4415 660.9959 423.6114 663.5912 426.9465 663.4175 431.3914 665.8899 434.2227 659.8352 441.7997 648.5007 451.7598 644.8589 452.2025 638.3135 458.676 632.4087 462.4887 628.5569 463.7958 623.6285 469.5507 617.0289 476.3376 611.4018 483.042 605.5324 488.6473 602.4373 492.29 597.4049 495.6594 595.8706 497.7814 588.9464 503.0921 584.5018 507.9546 580.6205 509.408 577.8621 512.1811 572.7561 515.4987 568.3813 516.8251 561.412 524.4065 558.2482 525.9021 555.8551 528.6131 546.5804 533.0619 540.8048 537.7491 536.9762 539.5557 521.549 549.5846 518.2932 550.7812 516.7275 552.6294 508.2772 555.3744 504.9092 557.522 498.5618 558.956 493.2589 562.0154 485.6369 564.6461 476.819 564.0817 472.087 562.3599 463.7418 561.3483 455.5837 562.1797 448.6508 565.4735 445.6282 568.438 444.2266 573.1188 447.0754 574.8077 444.9833 578.0114 433.6992 577.1447 429.3737 575.2868 422.028 573.8228 418.3571 573.9172 411.5326 575.8934 410.7942 579.4445 406.9912 582.484 406.4697 585.9329 398.0891 584.0987 395.1904 584.7295 389.2072 583.4694 384.6432 580.6072 381.2098 580.5534 375.5741 578.8239 358.7805 576.9374 349.1313 574.6701 349.5251 570.1694 342.881 565.239 340.4686 566.2981 338.631 564.0831 339.1085 561.9335 344.0113 561.0688 344.7012 559.7811 350.261 559.7617 350.4807 557.4997 346.669 554.9151 347.0464 551.2274 341.8026 548.6617 334.993 548.5517 332.1984 546.0068 324.3447 545.9574 314.6669 547.9689 307.3948 547.3095 305.037 546.3028 312.6101 534.0401 315.6602 530.722 314.6877 527.8104 315.3428 524.7582 318.1825 521.0182 322.5646 521.0594 322.1451 517.4491 325.0487 515.878 336.1416 518.7015 332.4011 510.3091 331.7643 505.4364 329.6509 503.5954 328.5458 499.3234 332.6924 497.9131 333.9368 495.7437 337.6527 497.5876 339.545 494.3935 350.0051 495.4089 349.2174 493.1702 350.2615 490.2465 356.4256 488.1342 360.9955 491.0837 364.3267 488.7374 371.0512 486.6775 372.7639 484.6979 371.5127 482.8158 373.0223 479.2996 376.9675 476.5832 374.1521 474.0049 371.3052 474.2195 373.5831 468.4912 374.0248 466.1435 379.1855 467.4273 382.9468 464.8999 391.0821 464.4391 391.5093 459.5325 390.5876 457.8238 393.2458 453.6293 393.6494 450.5675 398.3813 448.8728 400.308 449.693 404.3659 449.1538 407.4775 446.1865 411.7827 445.5499 414.8623 443.0321 417.4194 443.3364 422.8389 441.8733 425.4788 439.7426 431.7387 441.7192 433.2768 440.8395 433.197 437.5998 436.1885 435.1402 438.1413 432.0741 437.5738 429.5049 439.6335 425.6055 437.3933 423.9801 439.8289 422.2041 437.8244 419.5749 436.6767 412.6999 437.1891 412.1011 437.194 412.0904 441.5055 411.713 443.7703 410.6356 445.1139 413.7827 448.466 414.7593 452.2767 414.5835 453.2894 412.5928 455.7763 412.3283 461.6724 407.971 467.716 406.8621 470.8397 405.2629 472.3526 407.4183 475.5373 408.0355 477.2104 410.4713 479.856 410.6637 483.5463 409.2234 486.6936 410.7141 486.2582 412.2459 493.4297 415.4555 497.1606 415.0582 502.3657 412.9746 503.9885 414.9706 508.6009 413.9183 508.8375 411.2775 513.4258 410.2466 511.5349 407.9187 520.4763 407.2153 525.1231 406.2274 525.561 403.9674 528.031 401.0887 530.8576 400.8775 529.616 397.6873 533.837 397.0532 534.3388 399.1097 537.1963 400.4604 541.5306 406.3631 544.9083 408.2336 547.2549 411.0963 549.1786 411.7455 555.7917 411.0328 556.8644 413.0443 565.7032 413.9784 565.2644 410.8604 567.0357 410.1468 568.3232 407.1484 567.2704 404.698 570.8203 402.6754 572.8437 399.8044 570.1623 396.7034 571.1817 394.4327 576.2069 393.2055 577.4073 390.0086 581.5862 389.4863 587.2365 387.7917 592.0439 388.6564 593.1219 387.8609 601.294 386.114 607.4165 383.3593 608.8409 381.9268 610.3011 382.4679 613.7988 386.6934 613.1553 390.5967 616.2267 395.4835 622.7314 397.3482 622.8838 400.2424 617.6468 402.8842 616.7052 406.8248 613.703 409.92 617.5592 412.1258 620.7704 411.9325 626.1638 413.2793 632.9163 411.7901 636.952 415.0665 641.3757 415.1813 643.9309 416.8774 647.041 416.8377 651.2746 418.588 654.5652 420.989 Z'/></svg>"
3,"province",Northern Cape,,,,,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg' version='1.1' viewBox='0 0 800 617'><path id='3' d='M 299.9543 193.9927 303.4496 193.8604 303.7331 207.9554 308.2986 210.0333 310.1716 207.1081 312.9498 198.4037 313.3257 195.1234 316.9105 195.4451 317.1955 192.4133 320.9578 192.8532 322.0276 187.2092 333.332 187.7072 336.5645 188.3526 334.9446 192.3891 329.0548 190.6068 328.2647 193.6608 332.869 194.9262 328.5512 201.1962 331.4692 204.5002 330.7125 211.57 340.2223 213.7835 346.0666 217.9528 341.3918 223.8904 349.1042 227.1736 354.6301 228.7946 359.1056 231.1772 362.1456 229.6351 364.7729 231.3749 367.4654 236.4661 368.0184 239.102 364.9272 241.1697 361.1973 248.7409 369.2992 253.6103 368.6552 265.7006 371.9458 266.6215 370.7226 270.6508 371.5771 272.3014 385.8155 269.5012 387.8225 270.551 385.9878 273.373 388.1036 274.4107 383.6469 280.6191 386.0415 281.231 388.8158 284.0055 388.7282 286.6832 392.074 289.4087 393.4374 286.7016 396.6569 284.6712 396.0811 280.8614 398.0581 277.8092 398.0755 274.8186 399.8561 271.298 399.7027 267.759 403.0779 267.1786 404.9702 270.4992 414.5769 269.4842 416.9085 270.4003 406.3574 281.6181 412.1983 290.4281 415.9481 288.5072 415.8978 288.652 412.8762 297.0943 411.0429 296.9082 409.2842 299.9763 411.5722 300.688 406.2553 315.3208 409.8411 316.3415 398.2328 337.2282 383.0213 365.0999 383.076 367.402 386.1203 371.7017 392.5206 374.248 395.6205 377.5404 398.5173 377.3103 398.6866 380.4564 404.6219 381.7901 404.7317 384.0119 408.1887 388.1831 409.8275 391.928 413.9285 395.8875 416.2829 395.7374 416.3139 398.5153 419.125 399.8354 421.9404 403.9941 426.0627 406.1223 429.4501 409.797 432.8109 408.9642 437.1906 412.0807 437.1891 412.1011 436.6767 412.6999 437.8244 419.5749 439.8289 422.2041 437.3933 423.9801 439.6335 425.6055 437.5738 429.5049 438.1413 432.0741 436.1885 435.1402 433.197 437.5998 433.2768 440.8395 431.7387 441.7192 425.4788 439.7426 422.8389 441.8733 417.4194 443.3364 414.8623 443.0321 411.7827 445.5499 407.4775 446.1865 404.3659 449.1538 400.308 449.693 398.3813 448.8728 393.6494 450.5675 393.2458 453.6293 390.5876 457.8238 391.5093 459.5325 391.0821 464.4391 382.9468 464.8999 379.1855 467.4273 374.0248 466.1435 373.5831 468.4912 369.6388 469.3865 367.5864 465.66 364.4201 464.5215 363.7224 467.7509 360.3341 470.6747 356.9419 467.2824 358.8337 465.614 354.4245 463.9905 352.4243 461.6326 341.8263 464.3287 338.2957 463.3331 337.5191 464.8669 332.4548 465.659 330.5688 467.9936 328.9687 472.7099 324.5697 476.3845 322.0619 477.3898 320.367 475.8148 321.0831 473.439 316.6531 471.99 313.0785 472.7138 310.9989 469.9291 307.0271 471.8001 305.0056 469.013 300.9622 470.0928 297.4209 469.3099 299.3916 465.3926 296.7668 463.1287 293.4254 462.7614 284.5484 458.5524 282.6435 458.9923 282.0232 462.3802 277.9967 470.0468 277.4993 473.5529 274.3466 473.8256 272.8898 475.7916 274.0341 478.7836 272.8041 482.6782 270.234 484.2677 269.2411 488.5659 266.3517 489.53 265.7904 491.4233 262.4282 492.0797 258.8241 490.8889 256.6599 488.6647 254.5194 490.7746 252.2419 488.8435 246.9889 489.8371 248.2372 493.9798 244.0679 494.7898 240.8146 496.5978 235.7154 498.229 234.0931 500.5472 229.8643 503.376 227.8337 507.3045 228.6499 509.2021 223.9717 510.4888 219.2537 509.704 213.5115 510.8251 211.0004 514.3418 212.9469 518.3299 211.3081 522.0796 208.0475 524.5141 201.3188 523.6164 199.8252 521.412 196.8287 524.3508 193.8918 524.2747 191.059 522.4236 187.181 517.7296 183.2687 516.7501 181.748 515.1964 181.9468 511.9548 179.502 509.9191 177.3547 503.0988 176.5264 497.9897 179.0583 499.134 180.5824 495.7379 183.123 493.4193 184.3234 489.5934 177.3619 490.8555 169.6462 497.0101 163.1245 497.8056 159.6186 500.163 154.3742 501.5321 153.5566 509.2273 149.8455 511.3483 147.84 506.1258 148.303 501.7356 145.1015 496.4496 144.0796 492.7856 148.0674 490.9587 149.2136 484.3133 143.4395 479.4643 134.4817 476.215 133.948 474.1187 131.179 474.4729 125.9598 472.7346 125.7605 470.6718 128.4608 468.7756 127.4587 464.504 128.4196 455.8137 125.2389 454.4727 126.3667 450.8742 123.3253 447.496 124.9162 445.095 122.6619 444.0684 121.5994 441.7832 121.7514 435.756 119.6162 432.31 120.0178 429.2651 123.5362 427.6606 118.2576 424.8144 122.3741 423.7994 121.9594 417.9195 117.6566 416.5814 114.3438 414.1833 114.4101 412.1117 112.6121 409.3508 107.6015 408.8101 103.4874 402.6841 100.1987 403.3701 99.3022 407.1242 95.9221 407.3877 93.8604 410.5241 93.8551 413.7962 88.6843 421.4842 86.2346 421.1024 84.0883 422.9492 80.2176 420.009 76.2162 420.1722 75.5824 426.3492 70.1112 426.6011 72.3421 430.8377 66.7736 434.7691 67.8908 438.8372 64.1735 437.6483 60.4252 430.2893 56.3232 425.4418 52.8521 417.4743 48.5155 411.9141 48.9214 410.7281 45.4145 405.9634 40.6042 397.4858 40.0904 394.4356 37.2541 388.7272 35.0241 380.6671 32.9644 377.6979 31.2279 372.8963 30.0139 366.2398 24.3806 350.813 21.5854 347.5657 19.6825 343.6144 18.5731 337.7655 15.3226 335.4541 12.511 329.8552 8.395 327.4222 6.6469 320.1368 1 315.5703 2.3693 312.3432 7.8004 310.886 12.4457 307.7394 14.6481 308.8919 16.7209 306.2661 16.36 304.1374 18.2498 302.5033 15.6657 299.5776 17.99 295.7029 22.0964 293.3222 21.9348 289.3041 31.5104 286.549 37.0146 291.1378 36.4287 295.0634 37.9203 296.9654 43.679 295.9001 46.014 299.2821 47.5517 303.1646 46.704 305.6518 43.6345 307.9545 46.3464 312.6184 48.3074 312.555 48.3321 319.9067 51.4045 318.51 56.494 318.6001 57.453 321.9676 63.1182 321.6062 72.3054 322.1943 74.5596 323.2979 78.1318 327.302 79.7367 327.0918 85.281 329.2883 88.6514 327.5501 92.8768 327.616 96.3919 328.5883 101.6807 327.0104 111.1587 325.2397 121.1727 326.477 123.4937 327.5234 124.5736 329.7243 130.01 331.9127 133.8019 330.8265 135.4092 329.1435 138.0698 328.9633 135.8901 323.9849 137.3402 320.8955 143.9015 320.6159 147.9793 317.9868 148.8067 313.9076 150.8243 311.1486 154.3767 309.7034 156.7451 310.5929 159.6094 308.5843 163.6224 309.5741 165.279 307.2346 172.63 305.6664 172.6924 284.1668 172.674 245.7465 172.6145 218.0284 172.6426 194.964 172.6798 165.3599 172.616 128.2645 177.0368 131.5085 178.275 133.8373 182.5279 134.5926 185.5267 136.1448 186.5123 138.1335 191.2583 141.2695 192.6314 143.6152 194.2683 149.2471 196.8128 150.6942 196.6904 152.6389 198.9378 153.7822 198.7607 156.299 201.6178 160.0395 206.4518 168.4387 205.6956 173.2547 210.7362 181.3007 211.6231 184.4347 213.1888 185.6681 212.1205 188.34 214.4395 194.482 212.48 196.6049 210.908 201.2029 209.3902 201.9577 203.9339 209.1322 202.5381 209.5638 202.1152 214.8963 203.2232 216.3492 202.5182 220.8673 202.7863 226.1451 205.3854 229.7785 209.5929 230.0314 212.2386 227.925 215.5016 226.6789 219.9819 227.3688 221.3754 228.9579 224.8711 229.1613 227.5463 230.3846 233.8551 228.6299 240.6709 227.8819 244.5624 228.8242 254.6737 229.7781 258.8033 226.9338 259.1516 220.8068 260.8896 220.021 267.1708 220.4507 271.7721 218.82 279.127 208.6332 278.7665 207.2316 281.4015 204.8669 287.1848 203.5167 289.8667 198.8693 292.3842 197.7293 296.4083 198.7976 297.4809 195.7266 299.9543 193.9927 Z'/></svg>"
4,"province",Free State,,,,,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg' version='1.1' viewBox='0 0 800 617'><path id='4' d='M 571.5615 230.9185 574.2783 233.6014 578.7161 233.178 580.7685 236.6201 583.2496 235.1009 586.3385 238.5158 588.0697 238.2378 591.0428 234.2254 598.9749 238.371 605.9378 237.0557 610.0055 237.5726 612.2878 242.0844 614.7244 243.9719 619.2454 244.6022 629.5812 249.4323 630.8178 252.2068 638.0716 261.0153 642.2016 260.2101 642.298502916039 260.12659181584075 642.5931 261.617 644.8187 262.037 645.8445 264.953 643.6793 265.9123 640.5493 268.9658 642.43 270.3403 641.5281 279.8953 639.946 281.9141 637.9724 287.2161 639.841 289.308 639.9866 291.7332 640.2155 291.941 638.4311 293.9453 638.1127 296.6331 631.4923 298.1349 628.1722 303.1583 626.1933 302.964 622.1624 306.161 620.1627 305.5322 617.3918 308.8687 618.5893 310.0929 614.6581 312.382 612.7866 311.3545 606.8678 312.7822 605.3572 316.4806 603.1055 318.6045 602.115 321.9899 598.8259 322.2927 598.2056 318.8472 593.8341 317.4694 593.7611 314.9545 591.1019 312.6286 587.2447 314.4163 582.5839 314.2748 579.7365 315.343 576.8131 318.8714 569.197 319.3801 565.5039 320.8742 561.1179 327.2865 555.6761 326.8602 554.3678 329.347 551.6593 328.8552 546.7159 330.763 546.0124 333.6083 541.0743 341.3471 538.0373 342.8964 537.8548 345.3284 534.2096 348.8214 529.2831 355.1335 524.8028 358.8886 520.336 360.8206 517.1504 361.3724 512.0314 365.4526 516.0313 368.7556 522.1451 381.6831 525.7061 384.5579 527.1746 389.0154 530.4289 388.7417 529.0601 394.3358 529.616 397.6873 530.8576 400.8775 528.031 401.0887 525.561 403.9674 525.1231 406.2274 520.4763 407.2153 511.5349 407.9187 513.4258 410.2466 508.8375 411.2775 508.6009 413.9183 503.9885 414.9706 502.3657 412.9746 497.1606 415.0582 493.4297 415.4555 486.2582 412.2459 486.6936 410.7141 483.5463 409.2234 479.856 410.6637 477.2104 410.4713 475.5373 408.0355 472.3526 407.4183 470.8397 405.2629 467.716 406.8621 461.6724 407.971 455.7763 412.3283 453.2894 412.5928 452.2767 414.5835 448.466 414.7593 445.1139 413.7827 443.7703 410.6356 441.5055 411.713 437.194 412.0904 437.1906 412.0807 432.8109 408.9642 429.4501 409.797 426.0627 406.1223 421.9404 403.9941 419.125 399.8354 416.3139 398.5153 416.2829 395.7374 413.9285 395.8875 409.8275 391.928 408.1887 388.1831 404.7317 384.0119 404.6219 381.7901 398.6866 380.4564 398.5173 377.3103 395.6205 377.5404 392.5206 374.248 386.1203 371.7017 383.076 367.402 383.0213 365.0999 398.2328 337.2282 409.8411 316.3415 406.2553 315.3208 411.5722 300.688 409.2842 299.9763 411.0429 296.9082 412.8762 297.0943 415.8978 288.652 415.9602 288.5013 418.2023 288.0595 418.974 284.1731 424.3127 279.4525 428.0126 275.0308 431.0613 274.9165 432.2036 272.8614 437.7871 270.0922 441.4837 269.7667 443.4568 268.2362 446.4174 270.1639 447.3667 267.06 454.6219 263.9565 455.8431 266.5847 459.4365 265.7558 463.0852 267.9368 464.2416 272.094 467.4567 270.2216 466.6012 266.5871 469.0471 263.862 473.9692 261.3733 473.6387 259.4156 475.9292 256.6692 479.6746 255.1732 483.4452 256.2118 487.0101 249.3368 483.3252 244.9025 485.8905 243.9496 493.0242 236.6323 495.4797 236.2936 501.9244 233.2052 505.0002 232.6185 506.9399 233.8703 508.8046 231.2688 512.0323 233.2085 516.8465 232.9329 519.7607 234.9303 521.9622 233.8049 526.1662 229.3953 527.326 229.3895 531.0763 232.9048 534.391 230.856 536.1188 228.58 536.3903 225.9377 539.9257 223.825 543.358 225.5124 549.2333 224.4184 553.6285 224.2741 558.2477 220.4546 559.721 221.7738 560.1381 225.3651 565.5063 231.1365 571.5615 230.9185 Z'/></svg>"
5,"province",Kwazulu-Natal,,,,,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg' version='1.1' viewBox='0 0 800 617'><path id='5' d='M 681.5223 413.9634 675.3582 422.9768 671.2417 427.4436 667.5166 433.1098 665.8899 434.2227 663.4175 431.3914 663.5912 426.9465 660.9959 423.6114 655.2909 422.4415 654.5787 420.9992 654.5652 420.989 651.2746 418.588 647.041 416.8377 643.9309 416.8774 641.3757 415.1813 636.952 415.0665 632.9163 411.7901 626.1638 413.2793 620.7704 411.9325 617.5592 412.1258 613.703 409.92 616.7052 406.8248 617.6468 402.8842 622.8838 400.2424 622.7314 397.3482 616.2267 395.4835 613.1553 390.5967 613.7988 386.6934 610.3011 382.4679 608.8409 381.9268 613.3996 378.786 616.3235 377.7856 614.4965 373.392 615.1535 368.1006 617.0013 365.766 621.6346 364.6285 622.5069 358.6987 624.0615 356.1707 627.6439 354.9043 630.1705 349.9231 627.8393 343.6425 625.3814 343.1464 625.3272 339.5352 623.0198 337.1056 620.6698 337.7756 618.5525 334.6668 611.5688 329.4453 606.9113 328.2065 605.1855 326.6107 605.4076 322.8639 602.115 321.9899 603.1055 318.6045 605.3572 316.4806 606.8678 312.7822 612.7866 311.3545 614.6581 312.382 618.5893 310.0929 617.3918 308.8687 620.1627 305.5322 622.1624 306.161 626.1933 302.964 628.1722 303.1583 631.4923 298.1349 638.1127 296.6331 638.4311 293.9453 640.2155 291.941 639.9866 291.7332 639.841 289.308 637.9724 287.2161 639.946 281.9141 641.5281 279.8953 642.43 270.3403 640.5493 268.9658 643.6793 265.9123 645.8445 264.953 644.8187 262.037 642.5931 261.617 642.298502916039 260.12659181584075 642.1484 259.3672 644.8342 257.9414 647.3506 258.048 648.778 254.8612 652.505 253.6704 657.296 255.7623 659.8144 254.2255 663.7794 255.5036 666.0941 253.7077 670.0543 254.3573 670.1782 251.734 674.2966 249.4565 677.1436 249.5728 677.1208 251.7591 684.9464 252.1462 690.708 250.2248 696.6534 253.464 698.7291 251.7344 702.7508 253.9266 709.779 252.7668 712.9196 254.3539 718.1673 248.2812 728.7808 251.7688 752.2021 251.8832 752.0468 242.1401 753.0827 232.8258 754.0455 227.7743 757.7565 227.0471 762.2935 229.8628 763.9371 228.4027 769.3624 229.9031 786.322 230.1123 796.4042 229.6143 799 230.2979 796.6543 242.3339 788.8031 261.0366 788.8979 262.7395 785.4031 274.7755 784.7021 282.1563 783.0173 291.8112 780.6741 297.0269 777.2161 302.6956 776.0481 308.4598 773.3463 308.0262 771.1294 312.4837 754.6977 326.8723 749.3368 329.3949 741.9248 331.7184 735.7868 337.7107 732.5379 341.538 726.8368 346.3574 721.3844 351.9021 716.1889 358.1502 711.0883 365.0568 706.7526 373.2757 707.8659 375.8312 703.3251 381.0286 699.9919 383.8612 685.8299 407.9764 681.9515 413.3931 681.5223 413.9634 Z'/></svg>"
