time,population,geo
1996,40583573,zaf
2001,44819778,zaf
2011,51770560,zaf
2016,55653654,zaf
2016,,africa
2016,,asia
2016,,europe
2016,,americas
1800,,africa
1800,,asia
1800,,europe
1800,,americas
