year,age_by_1_year,population_group,population
2001,29,White,67444
2001,30,Black African,507650
2001,30,White,71678
2001,31,Black African,581716
2001,31,White,70629
2001,32,Black African,525815
2001,32,White,68715
2001,33,Black African,519893
2001,33,White,67253
2001,34,Black African,435843
2001,34,White,66367
2001,35,Black African,465730
2001,35,White,65702
2001,36,Black African,483102
2001,36,White,65742
2001,37,Black African,461818
2001,37,White,66465
2001,38,Black African,472360
2001,38,White,68555
2001,39,Black African,448305
2001,39,White,68777
2001,40,Black African,395155
2001,40,White,70481
2001,41,Black African,429118
2001,41,White,69950
2001,42,Black African,382165
2001,42,White,67785
2001,43,Black African,389975
2001,43,White,67809
2001,44,Black African,332716
2001,44,White,64472
2001,45,Black African,324079
2001,45,White,62682
2001,46,Black African,294549
2001,46,White,60189
2001,47,Black African,292292
2001,47,White,58356
2001,48,Black African,293569
2001,48,White,57887
2001,49,Black African,305862
2001,49,White,57040
2001,50,Black African,238851
2001,50,White,57944
2001,51,Black African,262844
2001,51,White,54764
2001,52,Black African,228581
2001,52,White,54726
2001,53,Black African,213587
2001,53,White,54370
2001,54,Black African,190978
2001,54,White,55944
2001,55,Black African,170419
2001,55,White,52672
2001,56,Black African,162982
2001,56,White,49529
2001,57,Black African,144200
2001,57,White,48913
2001,58,Black African,149102
2001,58,White,46129
2001,59,Black African,174551
2001,59,White,44230
2001,60,Black African,150553
2001,60,White,44359
2001,61,Black African,200371
2001,61,White,42832
2001,62,Black African,137878
2001,62,White,40904
2001,63,Black African,128508
2001,63,White,39321
2001,64,Black African,113525
2001,64,White,37129
2001,65,Black African,130170
2001,65,White,35386
2001,66,Black African,104987
2001,66,White,32495
2001,67,Black African,102451
2001,67,White,30295
2001,68,Black African,103215
2001,68,White,29148
2001,69,Black African,99269
2001,69,White,28889
2001,70,Black African,88255
2001,70,White,29293
2001,71,Black African,128411
2001,71,White,28158
2001,72,Black African,87668
2001,72,White,25757
2001,73,Black African,75550
2001,73,White,24303
2001,74,Black African,62668
2001,74,White,22835
2001,75,Black African,60877
2001,75,White,21710
2001,76,Black African,58071
2001,76,White,19800
2001,77,Black African,48953
2001,77,White,18422
2001,78,Black African,35589
2001,78,White,16954
2001,79,Black African,37798
2001,79,White,16427
2001,80,Black African,44729
2001,80,White,15689
2001,81,Black African,54229
2001,81,White,13907
2001,82,Black African,33957
2001,82,White,10580
2001,83,Black African,47017
2001,83,White,10083
2001,84,Black African,14423
2001,84,White,8978
2001,85,Black African,12858
2001,85,White,6902
2001,86,Black African,11907
2001,86,White,6077
2001,87,Black African,18813
2001,87,White,5423
2001,88,Black African,7520
2001,88,White,4574
2001,89,Black African,9548
2001,89,White,3701
2001,90,Black African,7965
2001,90,White,2979
2001,91,Black African,11277
2001,91,White,2298
2001,92,Black African,4721
2001,92,White,1750
2001,93,Black African,3147
2001,93,White,1330
2001,94,Black African,2607
2001,94,White,1004
2001,95,Black African,2909
2001,95,White,698
2001,96,Black African,2224
2001,96,White,509
2001,97,Black African,2199
2001,97,White,357
2001,98,Black African,1883
2001,98,White,230
2001,99,Black African,3317
2001,99,White,208
2001,100,Black African,2148
2001,100,White,120
2001,101,Black African,1338
2001,101,White,86
2001,102,Black African,442
2001,102,White,23
2001,103,Black African,208
2001,103,White,7
2001,104,Black African,182
2001,104,White,12
2001,105,Black African,218
2001,105,White,3
2001,106,Black African,116
2001,106,White,2
2001,107,Black African,64
2001,107,White,2
2001,108,Black African,52
2001,108,White,1
2001,109,Black African,74
2001,109,White,1
2001,110,Black African,88
2001,110,White,4
2001,111,Black African,126
2001,111,White,5
2001,112,Black African,51
2001,112,White,1
2001,113,Black African,37
2001,113,White,8
2001,114,Black African,28
2001,114,White,6
2001,115,Black African,31
2001,115,White,4
2001,116,Black African,169
2001,116,White,20
2011,0,Black African,988470
2011,0,White,53198
2011,1,Black African,963872
2011,1,White,53150
2011,2,Black African,973913
2011,2,White,55726
2011,3,Black African,965041
2011,3,White,53728
2011,4,Black African,939146
2011,4,White,52466
2011,5,Black African,892493
2011,5,White,51411
2011,6,Black African,878835
2011,6,White,49792
2011,7,Black African,803768
2011,7,White,48439
2011,8,Black African,749831
2011,8,White,48016
2011,9,Black African,729093
2011,9,White,47910
2011,10,Black African,758882
2011,10,White,50529
2011,11,Black African,780652
2011,11,White,51920
2011,12,Black African,745603
2011,12,White,50690
2011,13,Black African,752278
2011,13,White,51575
2011,14,Black African,780447
2011,14,White,52639
2011,15,Black African,818384
2011,15,White,56049
2011,16,Black African,816646
2011,16,White,56796
2011,17,Black African,841146
2011,17,White,55338
2011,18,Black African,832154
2011,18,White,58115
2011,19,Black African,863120
2011,19,White,58596
2011,20,Black African,917349
2011,20,White,62841
2011,21,Black African,944122
2011,21,White,64727
2011,22,Black African,881124
2011,22,White,62463
2011,23,Black African,882278
2011,23,White,61938
2011,24,Black African,854974
2011,24,White,61648
2011,25,Black African,870353
2011,25,White,64495
2011,26,Black African,869605
2011,26,White,68294
2011,27,Black African,819190
2011,27,White,66848
2011,28,Black African,810354
2011,28,White,68481
2011,29,Black African,787257
2011,29,White,68238
2011,30,Black African,697460
2011,30,White,67230
2011,31,Black African,710042
2011,31,White,65298
2011,32,Black African,654520
2011,32,White,61775
2011,33,Black African,581942
2011,33,White,60893
2011,34,Black African,593713
2011,34,White,63133
2011,35,Black African,577631
2011,35,White,65373
2011,36,Black African,566036
2011,36,White,67413
2011,37,Black African,518580
2011,37,White,68004
2011,38,Black African,506334
2011,38,White,69333
2011,39,Black African,505574
2011,39,White,72193
2011,40,Black African,430823
2011,40,White,75314
2011,41,Black African,483017
2011,41,White,71414
2011,42,Black African,449380
2011,42,White,71653
2011,43,Black African,441026
2011,43,White,68394
2011,44,Black African,360492
2011,44,White,64699
2011,45,Black African,378607
2011,45,White,64298
2011,46,Black African,385887
2011,46,White,64507
2011,47,Black African,387107
2011,47,White,65683
2011,48,Black African,387825
2011,48,White,64870
2011,49,Black African,362707
2011,49,White,65826
2011,50,Black African,310157
2011,50,White,67092
2011,51,Black African,349167
2011,51,White,65724
2011,52,Black African,308454
2011,52,White,65343
2011,53,Black African,316702
2011,53,White,64379
2011,54,Black African,275446
2011,54,White,62000
2011,55,Black African,265825
2011,55,White,61655
2011,56,Black African,251482
2011,56,White,61296
2011,57,Black African,241437
2011,57,White,58530
2011,58,Black African,240245
2011,58,White,57529
2011,59,Black African,243211
2011,59,White,56587
