geo,time,gender,age,population_projection
zaf,2016,male,99,77
zaf,2016,female,100plus,599
zaf,2016,male,100plus,79
zaf,2017,female,0,513182
zaf,2017,male,0,497682
zaf,2017,female,1,523803
zaf,2017,male,1,525923
zaf,2017,female,2,512906
zaf,2017,male,2,503698
zaf,2017,female,3,525194
zaf,2017,male,3,528792
zaf,2017,female,4,534507
zaf,2017,male,4,547262
zaf,2017,female,5,541021
zaf,2017,male,5,559732
zaf,2017,female,6,544914
zaf,2017,male,6,566834
zaf,2017,female,7,546756
zaf,2017,male,7,570078
zaf,2017,female,8,547114
zaf,2017,male,8,570982
zaf,2017,female,9,544203
zaf,2017,male,9,565737
zaf,2017,female,10,537405
zaf,2017,male,10,553202
zaf,2017,female,11,528082
zaf,2017,male,11,536661
zaf,2017,female,12,518302
zaf,2017,male,12,518875
zaf,2017,female,13,507773
zaf,2017,male,13,497288
zaf,2017,female,14,499013
zaf,2017,male,14,488457
zaf,2017,female,15,493533
zaf,2017,male,15,500270
zaf,2017,female,16,490492
zaf,2017,male,16,524680
zaf,2017,female,17,487159
zaf,2017,male,17,546713
zaf,2017,female,18,483606
zaf,2017,male,18,570507
zaf,2017,female,19,482876
zaf,2017,male,19,584446
zaf,2017,female,20,486057
zaf,2017,male,20,581607
zaf,2017,female,21,491767
zaf,2017,male,21,568193
zaf,2017,female,22,497133
zaf,2017,male,22,556334
zaf,2017,female,23,502249
zaf,2017,male,23,542396
zaf,2017,female,24,507267
zaf,2017,male,24,534499
zaf,2017,female,25,511818
zaf,2017,male,25,537520
zaf,2017,female,26,515476
zaf,2017,male,26,546532
zaf,2017,female,27,518319
zaf,2017,male,27,552322
zaf,2017,female,28,520487
zaf,2017,male,28,557427
zaf,2017,female,29,518915
zaf,2017,male,29,554881
zaf,2017,female,30,512129
zaf,2017,male,30,540512
zaf,2017,female,31,501332
zaf,2017,male,31,518065
zaf,2017,female,32,489952
zaf,2017,male,32,496438
zaf,2017,female,33,478211
zaf,2017,male,33,475023
zaf,2017,female,34,462578
zaf,2017,male,34,450829
zaf,2017,female,35,441928
zaf,2017,male,35,423639
zaf,2017,female,36,418272
zaf,2017,male,36,395225
zaf,2017,female,37,394532
zaf,2017,male,37,366775
zaf,2017,female,38,369874
zaf,2017,male,38,337095
zaf,2017,female,39,349256
zaf,2017,male,39,315636
zaf,2017,female,40,335370
zaf,2017,male,40,306930
zaf,2017,female,41,326075
zaf,2017,male,41,306622
zaf,2017,female,42,316504
zaf,2017,male,42,305698
zaf,2017,female,43,307583
zaf,2017,male,43,305784
zaf,2017,female,44,299212
zaf,2017,male,44,304593
zaf,2017,female,45,290842
zaf,2017,male,45,300015
zaf,2017,female,46,282773
zaf,2017,male,46,293216
zaf,2017,female,47,275608
zaf,2017,male,47,287478
zaf,2017,female,48,268909
zaf,2017,male,48,282172
zaf,2017,female,49,263593
zaf,2017,male,49,275679
zaf,2017,female,50,260072
zaf,2017,male,50,267536
zaf,2017,female,51,257635
zaf,2017,male,51,258082
zaf,2017,female,52,255210
zaf,2017,male,52,248390
zaf,2017,female,53,253077
zaf,2017,male,53,238560
zaf,2017,female,54,249621
zaf,2017,male,54,227235
zaf,2017,female,55,243955
zaf,2017,male,55,213949
zaf,2017,female,56,236758
zaf,2017,male,56,199446
zaf,2017,female,57,229674
zaf,2017,male,57,184888
zaf,2017,female,58,222461
zaf,2017,male,58,169983
zaf,2017,female,59,214767
zaf,2017,male,59,156294
zaf,2017,female,60,206620
zaf,2017,male,60,144698
zaf,2017,female,61,198115
zaf,2017,male,61,134529
zaf,2017,female,62,189355
zaf,2017,male,62,124392
zaf,2017,female,63,180334
zaf,2017,male,63,114745
zaf,2017,female,64,171382
zaf,2017,male,64,104856
zaf,2017,female,65,162685
zaf,2017,male,65,94274
zaf,2017,female,66,154141
zaf,2017,male,66,83549
zaf,2017,female,67,145581
zaf,2017,male,67,73549
zaf,2017,female,68,137172
zaf,2017,male,68,63943
zaf,2017,female,69,128502
zaf,2017,male,69,56077
zaf,2017,female,70,119397
zaf,2017,male,70,50658
zaf,2017,female,71,110156
zaf,2017,male,71,47000
zaf,2017,female,72,101154
zaf,2017,male,72,43597
zaf,2017,female,73,92196
zaf,2017,male,73,40613
zaf,2017,female,74,84347
zaf,2017,male,74,38121
zaf,2017,female,75,78144
zaf,2017,male,75,35962
zaf,2017,female,76,73058
zaf,2017,male,76,34051
zaf,2017,female,77,68122
zaf,2017,male,77,32554
zaf,2017,female,78,63634
zaf,2017,male,78,31540
zaf,2017,female,79,58762
zaf,2017,male,79,29888
zaf,2017,female,80,53030
zaf,2017,male,80,27089
zaf,2017,female,81,46899
zaf,2017,male,81,23624
zaf,2017,female,82,41181
zaf,2017,male,82,20423
zaf,2017,female,83,35561
zaf,2017,male,83,17223
zaf,2017,female,84,31006
zaf,2017,male,84,14652
zaf,2017,female,85,28038
zaf,2017,male,85,13084
zaf,2017,female,86,26094
zaf,2017,male,86,12169
zaf,2017,female,87,24237
zaf,2017,male,87,11228
zaf,2017,female,88,22819
zaf,2017,male,88,10473
zaf,2017,female,89,20607
zaf,2017,male,89,9359
zaf,2017,female,90,16949
zaf,2017,male,90,7566
zaf,2017,female,91,12504
zaf,2017,male,91,5412
zaf,2017,female,92,7753
zaf,2017,male,92,1689
zaf,2017,female,93,4466
zaf,2017,male,93,1352
zaf,2017,female,94,2034
zaf,2017,male,94,1013
zaf,2017,female,95,943
zaf,2017,male,95,676
zaf,2017,female,96,754
zaf,2017,male,96,338
zaf,2017,female,97,708
zaf,2017,male,97,287
zaf,2017,female,98,322
zaf,2017,male,98,158
zaf,2017,female,99,60
zaf,2017,male,99,4
zaf,2017,female,100plus,619
zaf,2017,male,100plus,95
zaf,2018,female,0,522349
zaf,2018,male,0,520741
zaf,2018,female,1,525717
zaf,2018,male,1,532144
zaf,2018,female,2,528803
zaf,2018,male,2,540738
zaf,2018,female,3,516087
zaf,2018,male,3,511305
zaf,2018,female,4,525134
zaf,2018,male,4,529217
zaf,2018,female,5,532387
zaf,2018,male,5,543164
zaf,2018,female,6,537823
zaf,2018,male,6,553330
zaf,2018,female,7,541429
zaf,2018,male,7,559909
zaf,2018,female,8,543776
zaf,2018,male,8,564410
zaf,2018,female,9,545440
zaf,2018,male,9,568351
zaf,2018,female,10,543454
zaf,2018,male,10,565280
zaf,2018,female,11,536618
zaf,2018,male,11,552727
zaf,2018,female,12,526691
zaf,2018,male,12,534863
zaf,2018,female,13,516694
zaf,2018,male,13,516643
zaf,2018,female,14,506119
zaf,2018,male,14,495049
zaf,2018,female,15,497426
zaf,2018,male,15,486282
zaf,2018,female,16,492187
zaf,2018,male,16,498263
zaf,2018,female,17,489484
zaf,2018,male,17,522897
zaf,2018,female,18,486447
zaf,2018,male,18,545128
zaf,2018,female,19,483190
zaf,2018,male,19,569113
zaf,2018,female,20,482591
zaf,2018,male,20,583160
zaf,2018,female,21,485652
zaf,2018,male,21,580297
zaf,2018,female,22,491064
zaf,2018,male,22,566764
zaf,2018,female,23,496129
zaf,2018,male,23,554773
zaf,2018,female,24,500916
zaf,2018,male,24,540692
zaf,2018,female,25,505534
zaf,2018,male,25,532565
zaf,2018,female,26,509609
zaf,2018,male,26,535245
zaf,2018,female,27,512738
zaf,2018,male,27,543843
zaf,2018,female,28,515039
zaf,2018,male,28,549213
zaf,2018,female,29,516664
zaf,2018,male,29,553893
zaf,2018,female,30,514540
zaf,2018,male,30,550923
zaf,2018,female,31,507194
zaf,2018,male,31,536143
zaf,2018,female,32,495857
zaf,2018,male,32,513312
zaf,2018,female,33,483962
zaf,2018,male,33,491302
zaf,2018,female,34,471716
zaf,2018,male,34,469496
zaf,2018,female,35,455738
zaf,2018,male,35,445038
zaf,2018,female,36,434973
zaf,2018,male,36,417775
zaf,2018,female,37,411367
zaf,2018,male,37,389413
zaf,2018,female,38,387696
zaf,2018,male,38,361017
zaf,2018,female,39,363138
zaf,2018,male,39,331419
zaf,2018,female,40,342676
zaf,2018,male,40,309997
zaf,2018,female,41,328990
zaf,2018,male,41,301230
zaf,2018,female,42,319926
zaf,2018,male,42,300805
zaf,2018,female,43,310615
zaf,2018,male,43,299796
zaf,2018,female,44,301985
zaf,2018,male,44,299818
zaf,2018,female,45,293862
zaf,2018,male,45,298556
zaf,2018,female,46,285655
zaf,2018,male,46,293902
zaf,2018,female,47,277700
zaf,2018,male,47,287027
zaf,2018,female,48,270653
zaf,2018,male,48,281225
zaf,2018,female,49,264071
zaf,2018,male,49,275852
zaf,2018,female,50,258863
zaf,2018,male,50,269348
zaf,2018,female,51,255453
zaf,2018,male,51,261272
zaf,2018,female,52,253119
zaf,2018,male,52,251938
zaf,2018,female,53,250784
zaf,2018,male,53,242370
zaf,2018,female,54,248730
zaf,2018,male,54,232672
zaf,2018,female,55,245332
zaf,2018,male,55,221475
zaf,2018,female,56,239695
zaf,2018,male,56,208301
zaf,2018,female,57,232509
zaf,2018,male,57,193902
zaf,2018,female,58,225426
zaf,2018,male,58,179461
zaf,2018,female,59,218205
zaf,2018,male,59,164691
zaf,2018,female,60,210498
zaf,2018,male,60,151107
zaf,2018,female,61,202333
zaf,2018,male,61,139567
zaf,2018,female,62,193807
zaf,2018,male,62,129430
zaf,2018,female,63,185022
zaf,2018,male,63,119331
zaf,2018,female,64,175977
zaf,2018,male,64,109709
zaf,2018,female,65,166989
zaf,2018,male,65,99920
zaf,2018,female,66,158236
zaf,2018,male,66,89557
zaf,2018,female,67,149629
zaf,2018,male,67,79124
zaf,2018,female,68,141008
zaf,2018,male,68,69397
zaf,2018,female,69,132529
zaf,2018,male,69,60068
zaf,2018,female,70,123836
zaf,2018,male,70,52420
zaf,2018,female,71,114769
zaf,2018,male,71,47118
zaf,2018,female,72,105609
zaf,2018,male,72,43507
zaf,2018,female,73,96688
zaf,2018,male,73,40166
zaf,2018,female,74,87830
zaf,2018,male,74,37252
zaf,2018,female,75,80035
zaf,2018,male,75,34789
zaf,2018,female,76,73809
zaf,2018,male,76,32605
zaf,2018,female,77,68657
zaf,2018,male,77,30641
zaf,2018,female,78,63674
zaf,2018,male,78,29093
zaf,2018,female,79,59136
zaf,2018,male,79,28009
zaf,2018,female,80,54279
zaf,2018,male,80,26381
zaf,2018,female,81,48666
zaf,2018,male,81,23754
zaf,2018,female,82,42719
zaf,2018,male,82,20554
zaf,2018,female,83,37194
zaf,2018,male,83,17613
zaf,2018,female,84,31805
zaf,2018,male,84,14701
zaf,2018,female,85,27418
zaf,2018,male,85,12351
zaf,2018,female,86,24504
zaf,2018,male,86,10892
zaf,2018,female,87,22559
zaf,2018,male,87,10017
zaf,2018,female,88,20726
zaf,2018,male,88,9136
zaf,2018,female,89,19306
zaf,2018,male,89,8423
zaf,2018,female,90,17283
zaf,2018,male,90,7458
zaf,2018,female,91,14110
zaf,2018,male,91,5984
zaf,2018,female,92,10325
zaf,2018,male,92,4249
zaf,2018,female,93,5828
zaf,2018,male,93,1275
zaf,2018,female,94,3506
zaf,2018,male,94,1021
zaf,2018,female,95,1754
zaf,2018,male,95,764
zaf,2018,female,96,893
zaf,2018,male,96,511
zaf,2018,female,97,635
zaf,2018,male,97,255
zaf,2018,female,98,598
zaf,2018,male,98,157
zaf,2018,female,99,299
zaf,2018,male,99,79
zaf,2018,female,100plus,639
zaf,2018,male,100plus,113
zaf,2019,female,0,529613
zaf,2019,male,0,541865
zaf,2019,female,1,526779
zaf,2019,male,1,537698
zaf,2019,female,2,525491
zaf,2019,male,2,535471
zaf,2019,female,3,525458
zaf,2019,male,3,534858
zaf,2019,female,4,519217
zaf,2019,male,4,518955
zaf,2019,female,5,525031
zaf,2019,male,5,529705
zaf,2019,female,6,530223
zaf,2019,male,6,539142
zaf,2019,female,7,534584
zaf,2019,male,7,547014
zaf,2019,female,8,537902
zaf,2019,male,8,553070
zaf,2019,female,9,540756
zaf,2019,male,9,558826
zaf,2019,female,10,543720
zaf,2019,male,10,565797
zaf,2019,female,11,542659
zaf,2019,male,11,564892
zaf,2019,female,12,535787
zaf,2019,male,12,552321
zaf,2019,female,13,525256
zaf,2019,male,13,533136
zaf,2019,female,14,515045
zaf,2019,male,14,514478
zaf,2019,female,15,504423
zaf,2019,male,15,492878
zaf,2019,female,16,495799
zaf,2019,male,16,484173
zaf,2019,female,17,490802
zaf,2019,male,17,496321
zaf,2019,female,18,488434
zaf,2019,male,18,521182
zaf,2019,female,19,485696
zaf,2019,male,19,543614
zaf,2019,female,20,482732
zaf,2019,male,20,567793
zaf,2019,female,21,482265
zaf,2019,male,21,581947
zaf,2019,female,22,485207
zaf,2019,male,22,579062
zaf,2019,female,23,490320
zaf,2019,male,23,565408
zaf,2019,female,24,495082
zaf,2019,male,24,553284
zaf,2019,female,25,499543
zaf,2019,male,25,539059
zaf,2019,female,26,503760
zaf,2019,male,26,530701
zaf,2019,female,27,507360
zaf,2019,male,27,533042
zaf,2019,female,28,509959
zaf,2019,male,28,541226
zaf,2019,female,29,511720
zaf,2019,male,29,546179
zaf,2019,female,30,512803
zaf,2019,male,30,550436
zaf,2019,female,31,510126
zaf,2019,male,31,547042
zaf,2019,female,32,502225
zaf,2019,male,32,531853
zaf,2019,female,33,490346
zaf,2019,male,33,508634
zaf,2019,female,34,477939
zaf,2019,male,34,486241
zaf,2019,female,35,465190
zaf,2019,male,35,464040
zaf,2019,female,36,448868
zaf,2019,male,36,439316
zaf,2019,female,37,427992
zaf,2019,male,37,411978
zaf,2019,female,38,404436
zaf,2019,male,38,383665
zaf,2019,female,39,380835
zaf,2019,male,39,355318
zaf,2019,female,40,356382
zaf,2019,male,40,325799
zaf,2019,female,41,336076
zaf,2019,male,41,304410
zaf,2019,female,42,322591
zaf,2019,male,42,295583
zaf,2019,female,43,313759
zaf,2019,male,43,295041
zaf,2019,female,44,304708
zaf,2019,male,44,293945
zaf,2019,female,45,296369
zaf,2019,male,45,293904
zaf,2019,female,46,288493
zaf,2019,male,46,292573
zaf,2019,female,47,280453
zaf,2019,male,47,287841
zaf,2019,female,48,272609
zaf,2019,male,48,280891
zaf,2019,female,49,265683
zaf,2019,male,49,275022
zaf,2019,female,50,259216
zaf,2019,male,50,269582
zaf,2019,female,51,254119
zaf,2019,male,51,263067
zaf,2019,female,52,250818
zaf,2019,male,52,255057
zaf,2019,female,53,248588
zaf,2019,male,53,245843
zaf,2019,female,54,246343
zaf,2019,male,54,236395
zaf,2019,female,55,244368
zaf,2019,male,55,226827
zaf,2019,female,56,241027
zaf,2019,male,56,215758
zaf,2019,female,57,235422
zaf,2019,male,57,202695
zaf,2019,female,58,228245
zaf,2019,male,58,188397
zaf,2019,female,59,221166
zaf,2019,male,59,174070
zaf,2019,female,60,213936
zaf,2019,male,60,159433
zaf,2019,female,61,206217
zaf,2019,male,61,145952
zaf,2019,female,62,198035
zaf,2019,male,62,134467
zaf,2019,female,63,189489
zaf,2019,male,63,124360
zaf,2019,female,64,180679
zaf,2019,male,64,114299
zaf,2019,female,65,171612
zaf,2019,male,65,104700
zaf,2019,female,66,162588
zaf,2019,male,66,95009
zaf,2019,female,67,153779
zaf,2019,male,67,84865
zaf,2019,female,68,145110
zaf,2019,male,68,74719
zaf,2019,female,69,136429
zaf,2019,male,69,65264
zaf,2019,female,70,127884
zaf,2019,male,70,56212
zaf,2019,female,71,119164
zaf,2019,male,71,48779
zaf,2019,female,72,110140
zaf,2019,male,72,43593
zaf,2019,female,73,101059
zaf,2019,male,73,40030
zaf,2019,female,74,92220
zaf,2019,male,74,36747
zaf,2019,female,75,83462
zaf,2019,male,75,33905
zaf,2019,female,76,75723
zaf,2019,male,76,31472
