province_from,municipality_to,population_group,flow
1,464,White,32.92443
1,464,Other,0
1,465,Black African,4.92374
1,465,Coloured,1.08572
1,465,Indian or Asian,0
1,465,White,39.50587
1,465,Other,0
1,466,Black African,10.13929
1,466,Coloured,1.10786
1,466,Indian or Asian,1.19654
1,466,White,32.53253
1,466,Other,0
1,467,Black African,258.35002
1,467,Coloured,34.76289
1,467,Indian or Asian,2.27851
1,467,White,293.01284
1,467,Other,5.46248
1,468,Black African,15.57961
1,468,Coloured,1.19654
1,468,Indian or Asian,0
1,468,White,29.41901
1,468,Other,0
1,469,Black African,33.53473
1,469,Coloured,33.49049
1,469,Indian or Asian,0
1,469,White,79.84218
1,469,Other,1.19654
1,470,Black African,52.06648
1,470,Coloured,46.34968
1,470,Indian or Asian,1.10786
1,470,White,156.94254
1,470,Other,0
1,471,Black African,25.08436
1,471,Coloured,17.02889
1,471,Indian or Asian,0
1,471,White,51.86456
1,471,Other,1.34439
1,472,Black African,63.93102
1,472,Coloured,28.2788
1,472,Indian or Asian,2.1271
1,472,White,83.8971
1,472,Other,1.1271
1,473,Black African,6.90299
1,473,Coloured,1.19654
1,473,Indian or Asian,0
1,473,White,28.20313
1,473,Other,0
1,474,Black African,11.47115
1,474,Coloured,5.31693
1,474,Indian or Asian,0
1,474,White,50.72266
1,474,Other,0
1,475,Black African,47.36065
1,475,Coloured,63.70344
1,475,Indian or Asian,1.08572
1,475,White,95.50234
1,475,Other,1.19654
1,477,Black African,28.07206
1,477,Coloured,10.75512
1,477,Indian or Asian,2.39308
1,477,White,102.37004
1,477,Other,2.3044
1,478,Black African,128.50657
1,478,Coloured,54.00502
1,478,Indian or Asian,5.48462
1,478,White,161.14729
1,478,Other,1.19654
1,479,Black African,10.43945
1,479,Coloured,0
1,479,Indian or Asian,1.19654
1,479,White,42.07119
1,479,Other,0
1,499,Black African,673.30063
1,499,Coloured,433.62303
1,499,Indian or Asian,26.24141
1,499,White,1314.25364
1,499,Other,7.57699
1,760,Black African,547.63419
1,760,Coloured,108.0105
1,760,Indian or Asian,6.36508
1,760,White,634.4508
1,760,Other,31.28816
1,761,Black African,126.69547
1,761,Coloured,38.40609
1,761,Indian or Asian,14.03734
1,761,White,325.21982
1,761,Other,7.82204
1,762,Black African,127.26019
1,762,Coloured,85.43684
1,762,Indian or Asian,7.78806
1,762,White,285.27323
1,762,Other,0
1,763,Black African,318.03562
1,763,Coloured,80.58418
1,763,Indian or Asian,18.17214
1,763,White,680.10845
1,763,Other,11.73306
1,764,Black African,99.86553
1,764,Coloured,53.28976
1,764,Indian or Asian,2.59602
1,764,White,161.54315
1,764,Other,0
1,765,Black African,225.16681
1,765,Coloured,20.51928
1,765,Indian or Asian,0
1,765,White,28.16542
1,765,Other,0
1,766,Black African,392.86895
1,766,Coloured,16.13836
1,766,Indian or Asian,3.89403
1,766,White,124.76253
1,766,Other,5.86653
1,797,Black African,3976.33588
1,797,Coloured,1318.5899
1,797,Indian or Asian,306.05225
1,797,White,4220.66621
1,797,Other,111.59754
1,798,Black African,8159.50252
1,798,Coloured,3463.48293
1,798,Indian or Asian,1447.68603
1,798,White,8806.09636
1,798,Other,390.23547
1,799,Black African,4597.46748
1,799,Coloured,2201.8291
1,799,Indian or Asian,371.05872
1,799,White,7363.99612
1,799,Other,176.04039
1,503,Black African,4.7242
1,503,Coloured,0
1,503,Indian or Asian,0
1,503,White,0
1,503,Other,0
1,504,Black African,13.87564
1,504,Coloured,2.36396
1,504,Indian or Asian,0
1,504,White,3.0562
1,504,Other,0
1,505,Black African,0
1,505,Coloured,1.21825
1,505,Indian or Asian,0
1,505,White,1.5281
1,505,Other,0
1,506,Black African,102.94813
1,506,Coloured,28.36752
1,506,Indian or Asian,19.38158
1,506,White,325.43659
1,506,Other,0
1,560,Black African,0
1,560,Coloured,0
1,560,Indian or Asian,0
1,560,White,0
1,560,Other,0
1,561,Black African,22.29915
1,561,Coloured,2.36396
1,561,Indian or Asian,1.18295
1,561,White,66.27936
1,561,Other,2.42347
1,562,Black African,23.65851
1,562,Coloured,1.22315
1,562,Indian or Asian,0
1,562,White,26.83828
1,562,Other,0
1,563,Black African,53.73015
1,563,Coloured,10.06115
1,563,Indian or Asian,9.22172
1,563,White,357.98593
1,563,Other,2.41044
1,564,Black African,14.36374
1,564,Coloured,4.5843
1,564,Indian or Asian,0
1,564,White,9.05101
1,564,Other,0
1,565,Black African,1.21825
1,565,Coloured,0
1,565,Indian or Asian,0
1,565,White,5.87722
1,565,Other,0
1,566,Black African,261.87924
1,566,Coloured,94.5584
1,566,Indian or Asian,54.24111
1,566,White,308.09032
1,566,Other,3.63602
1,567,Black African,6.99481
1,567,Coloured,3.89206
1,567,Indian or Asian,0
1,567,White,19.94711
1,567,Other,0
1,568,Black African,27.59672
1,568,Coloured,0
1,568,Indian or Asian,3.42791
1,568,White,21.92297
1,568,Other,0
1,514,Black African,64.01855
1,514,Coloured,55.55306
1,514,Indian or Asian,2.30682
1,514,White,77.93427
1,514,Other,0
1,569,Black African,9.56349
1,569,Coloured,0
1,569,Indian or Asian,0
1,569,White,0
1,569,Other,0
1,570,Black African,14.96647
1,570,Coloured,3.54594
1,570,Indian or Asian,9.09522
1,570,White,17.29169
1,570,Other,0
1,571,Black African,23.92454
1,571,Coloured,1.18198
1,571,Indian or Asian,1.5281
1,571,White,18.16531
1,571,Other,1.20522
1,573,Black African,0
1,573,Coloured,0
1,573,Indian or Asian,0
1,573,White,0
1,573,Other,0
1,582,Black African,2.4414
1,582,Coloured,0
1,582,Indian or Asian,1.21825
1,582,White,10.63245
1,582,Other,0
1,583,Black African,10.51968
1,583,Coloured,0
1,583,Indian or Asian,0
1,583,White,12.79334
1,583,Other,1.21825
1,584,Black African,6.28259
1,584,Coloured,1.5281
1,584,Indian or Asian,0
1,584,White,19.90413
1,584,Other,0
1,585,Black African,3.56008
1,585,Coloured,0
1,585,Indian or Asian,0
1,585,White,0
1,585,Other,0
1,586,Black African,25.07071
1,586,Coloured,10.27386
1,586,Indian or Asian,0
1,586,White,20.1801
1,586,Other,0
1,538,Black African,94.47445
1,538,Coloured,58.77621
1,538,Indian or Asian,12.2248
1,538,White,199.59262
1,538,Other,0
1,542,Black African,10.82531
1,542,Coloured,0
1,542,Indian or Asian,0
1,542,White,4.57501
1,542,Other,0
1,587,Black African,10.5156
1,587,Coloured,1.1047
1,587,Indian or Asian,0
1,587,White,4.8616
1,587,Other,0
1,588,Black African,1.21825
1,588,Coloured,0
1,588,Indian or Asian,0
1,588,White,0
1,588,Other,0
1,589,Black African,39.35804
1,589,Coloured,2.36396
1,589,Indian or Asian,0
1,589,White,63.60959
1,589,Other,2.22558
1,590,Black African,8.90827
1,590,Coloured,0
1,590,Indian or Asian,3.65475
1,590,White,2.41044
1,590,Other,0
1,594,Black African,14.00975
1,594,Coloured,3.0562
1,594,Indian or Asian,0
1,594,White,2.5281
1,594,Other,0
1,595,Black African,6.8759
1,595,Coloured,1.18198
1,595,Indian or Asian,0
1,595,White,15.87722
1,595,Other,0
1,596,Black African,106.33749
1,596,Coloured,19.10453
1,596,Indian or Asian,1
1,596,White,31.11347
1,596,Other,1
1,597,Black African,33.68167
1,597,Coloured,5.18498
1,597,Indian or Asian,1.18295
1,597,White,12.5955
1,597,Other,0
1,598,Black African,27.3463
1,598,Coloured,4.72792
1,598,Indian or Asian,0
1,598,White,0
1,598,Other,0
1,574,Black African,18.81824
1,574,Coloured,2.36396
1,574,Indian or Asian,0
1,574,White,28.2774
1,574,Other,1.5281
1,575,Black African,8.12111
1,575,Coloured,0
1,575,Indian or Asian,0
1,575,White,0
1,575,Other,0
1,576,Black African,6.4365
1,576,Coloured,0
1,576,Indian or Asian,0
1,576,White,4.0562
1,576,Other,0
1,577,Black African,11.71909
1,577,Coloured,0
1,577,Indian or Asian,0
1,577,White,22.18672
1,577,Other,0
1,524,Black African,97.17771
1,524,Coloured,30.6396
1,524,Indian or Asian,33.40848
1,524,White,93.44205
1,524,Other,3.43279
1,525,Black African,2.65718
1,525,Coloured,0
1,525,Indian or Asian,0
1,525,White,9.70284
1,525,Other,0
1,526,Black African,4.47332
1,526,Coloured,7.09188
1,526,Indian or Asian,2.3659
1,526,White,6.45704
1,526,Other,0
1,529,Black African,5.66167
1,529,Coloured,3.54594
1,529,Indian or Asian,1.18295
1,529,White,58.09326
1,529,Other,0
1,578,Black African,3.75052
1,578,Coloured,0
1,578,Indian or Asian,0
1,578,White,3.97926
1,578,Other,0
1,579,Black African,8.15205
1,579,Coloured,0
1,579,Indian or Asian,0
1,579,White,10.27659
1,579,Other,0
1,580,Black African,18.36947
1,580,Coloured,0
1,580,Indian or Asian,0
1,580,White,0
1,580,Other,0
1,581,Black African,21.3755
1,581,Coloured,0
1,581,Indian or Asian,0
1,581,White,0
1,581,Other,0
1,546,Black African,0
1,546,Coloured,0
1,546,Indian or Asian,0
1,546,White,0
1,546,Other,0
1,591,Black African,10.44378
1,591,Coloured,11.75734
1,591,Indian or Asian,3.43069
1,591,White,8.27204
1,591,Other,0
1,592,Black African,67.71401
1,592,Coloured,11.8198
1,592,Indian or Asian,15.83521
1,592,White,216.91202
1,592,Other,0
1,593,Black African,4.27445
1,593,Coloured,0
1,593,Indian or Asian,0
1,593,White,0
1,593,Other,0
1,599,Black African,1522.86028
1,599,Coloured,668.54883
1,599,Indian or Asian,507.42547
1,599,White,2332.17787
1,599,Other,64.92838
1,960,Black African,39.28238
1,960,Coloured,7.56275
1,960,Indian or Asian,0
1,960,White,0
1,960,Other,3.19149
1,961,Black African,26.59176
1,961,Coloured,1.59222
1,961,Indian or Asian,0
1,961,White,8.36888
1,961,Other,0
1,962,Black African,86.28113
1,962,Coloured,3.78754
1,962,Indian or Asian,2.09766
1,962,White,147.35924
1,962,Other,0
1,963,Black African,55.96586
1,963,Coloured,37.2541
1,963,Indian or Asian,2.69017
1,963,White,73.44994
1,963,Other,0
1,964,Black African,50.1532
1,964,Coloured,45.63252
1,964,Indian or Asian,0
1,964,White,116.34133
1,964,Other,0
1,965,Black African,7.54627
1,965,Coloured,9.80542
1,965,Indian or Asian,0
1,965,White,1.06383
1,965,Other,1.09766
1,966,Black African,80.31727
1,966,Coloured,11.8905
1,966,Indian or Asian,0
1,966,White,4.88609
1,966,Other,1.44102
1,967,Black African,70.5292
1,967,Coloured,9.88012
1,967,Indian or Asian,1.44102
1,967,White,47.82907
1,967,Other,0
1,968,Black African,96.85123
1,968,Coloured,28.78102
1,968,Indian or Asian,0
1,968,White,137.66402
1,968,Other,0
1,969,Black African,15.30229
1,969,Coloured,0
1,969,Indian or Asian,0
1,969,White,4.32945
1,969,Other,0
1,970,Black African,15.27434
1,970,Coloured,0
1,970,Indian or Asian,0
1,970,White,0
1,970,Other,0
1,973,Black African,29.10005
1,973,Coloured,2.4983
1,973,Indian or Asian,0
1,973,White,4.77666
1,973,Other,0
1,974,Black African,311.6061
1,974,Coloured,83.79883
1,974,Indian or Asian,17.94747
1,974,White,218.3394
1,974,Other,12.84796
1,976,Black African,41.65755
1,976,Coloured,1.14501
1,976,Indian or Asian,0
1,976,White,1.14501
1,976,Other,0
1,977,Black African,86.34232
1,977,Coloured,14.62246
1,977,Indian or Asian,0
1,977,White,105.69268
1,977,Other,1.44102
1,978,Black African,106.67894
1,978,Coloured,115.63038
1,978,Indian or Asian,2.67543
1,978,White,153.23758
1,978,Other,9.2607
1,979,Black African,29.80848
1,979,Coloured,5.06914
1,979,Indian or Asian,0
1,979,White,18.95866
1,979,Other,0
1,980,Black African,28.36995
1,980,Coloured,9.93565
1,980,Indian or Asian,2.88204
1,980,White,73.06932
1,980,Other,0
1,981,Black African,42.58764
1,981,Coloured,15.20107
1,981,Indian or Asian,1.44102
1,981,White,118.98971
1,981,Other,0
1,982,Black African,56.37415
1,982,Coloured,21.38688
1,982,Indian or Asian,0
1,982,White,60.85037
1,982,Other,0
1,983,Black African,17.00262
1,983,Coloured,1.14501
1,983,Indian or Asian,5.47446
1,983,White,7.23033
1,983,Other,0
1,984,Black African,44.97886
1,984,Coloured,3.92458
1,984,Indian or Asian,5.73459
1,984,White,33.61565
1,984,Other,1.14501
1,985,Black African,45.88941
1,985,Coloured,1
1,985,Indian or Asian,0
1,985,White,0
1,985,Other,0
1,986,Black African,12.17755
1,986,Coloured,0
