province_from,province_to,black,coloured,indian_asian,white,other,total
8,5,7591.26907,205.22909,530.61512,4123.99838,60.34544,12511.4571
8,6,8759.34143,117.77542,109.03613,4044.97785,59.40482,13090.53565
8,7,98924.89138,979.05322,1870.67376,20436.73015,366.52001,122577.8685
8,8,3427805.775,30414.52087,19562.92093,242250.1258,3809.69413,3723843.037
8,9,20180.98612,137.44967,168.41889,4709.53093,102.80807,25299.19368
8,10,2253.82757,12.36616,73.83742,206.90634,199.04896,2745.98645
9,1,3833.44364,845.49068,69.07504,2880.91547,197.35001,7826.27484
9,2,1892.76627,72.68565,39.35433,665.80182,71.44518,2742.05325
9,3,1084.43249,130.68269,17.9205,572.18602,42.1708,1847.3925
9,4,4097.75043,57.85905,34.357,1270.97275,20.41239,5481.35162
9,5,2847.96131,92.13585,261.79059,1282.91771,88.75081,4573.55627
9,6,22788.45231,97.30239,88.1371,3787.2805,65.17503,26826.34733
9,7,268080.9754,862.14092,1026.20506,13034.25861,491.21997,283494.8
9,8,33431.16097,148.09577,165.48896,5643.51713,103.67185,39491.93468
9,9,4960653.962,10004.80432,11709.44495,102804.7394,2910.9368,5088083.887
9,10,3559.40295,5.86952,61.30934,116.63978,293.16455,4036.38614
10,1,60536.44238,3064.95075,3204.87317,23402.00185,23664.66247,113872.9306
10,2,23435.32382,285.30162,2412.61882,4047.04816,7084.78034,37265.07276
10,3,3019.21788,631.21078,1051.95399,599.0214,2078.15146,7379.55551
10,4,27447.26197,158.67363,2718.77374,1413.53539,2740.69042,34478.93515
10,5,56544.06107,580.34023,4104.69749,8804.78787,6622.50854,76656.3952
10,6,65969.06118,259.92067,4243.88365,1790.00854,4134.15676,76397.0308
10,7,413884.1552,2686.98521,17947.17434,26131.52024,26468.61151,487118.4465
10,8,62764.85394,332.43178,3858.78273,2636.261,4360.20386,73952.53331
10,9,91699.76504,241.95016,3898.14962,1622.02674,4287.33602,101749.2276
10,10,410.17026,52.6915,26.911,509.42982,38.62314,1037.82572
