date	week	weekday	value	currency	target	Food/Household	Local Transport	Rent	Sport	Phone/Internet	Fees	Special	category	place
2014-01-17	109	5	50.00	sek	Comviq Amigos 50					Phone/Internet			Phone/Internet	V?ster?s
2014-01-17	109	5	20.00	sek	SL metro							Local Transport	Local Transport	V?ster?s
2014-01-17	109	5	20.00	sek	SL metro							Local Transport	Local Transport	V?ster?s
2014-01-18	109	6	42.95	sek	Coop V?ster?s	Food/Household							Food/Household	V?ster?s
2014-01-18	109	6	35.66	sek	Allans Livs V?ster?s	Food/Household							Food/Household	V?ster?s
2014-01-19	109	7	29.90	sek	Power extender							Food/Household	Food/Household	V?ster?s
2014-01-23	110	4	265.02	sek	Lidl V?ster?s	Food/Household							Food/Household	V?ster?s
2014-01-30	111	4	25.00	sek	Card fee						Fees		Fees	V?ster?s
2014-01-30	111	4	90.00	sek	Bus to Uppsala							Local Transport	Local Transport	V?ster?s
2014-01-31	111	5	65.83	sek	Coop Uppsala	Food/Household							Food/Household	V?ster?s
2014-02-03	112	1	140.00	sek	Bus to V?ster?s + UL card							Local Transport	Local Transport	V?ster?s
2014-02-05	112	3	295.00	sek	STHLM Startup day ticket							Other	Other	V?ster?s
2014-02-07	112	5	175.00	sek	Battery for HTC							Other	Other	V?ster?s
2014-02-08	112	6	49.00	sek	Gina Tricot							Presents	Presents	V?ster?s
2014-02-08	112	6	50.00	sek	Lindex							Presents	Presents	V?ster?s
2014-02-10	113	1	174.71	sek	Allans Livs V?ster?s	Food/Household							Food/Household	V?ster?s
2014-02-10	113	1	221.36	sek	Lidl V?ster?s	Food/Household							Food/Household	V?ster?s
2014-02-11	113	2	172.00	sek	Train to Stockholm							Local Transport	Local Transport	V?ster?s
2014-02-13	113	4	190.00	sek	Viking Line boat							Travels	Travels	V?ster?s
2014-02-15	113	6	112.44	sek	Lidl V?ster?s	Food/Household							Food/Household	V?ster?s
2014-02-19	114	3	129.74	sek	Lion ears							Presents	Presents	V?ster?s
2014-02-22	114	6	156.30	sek	Lidl V?ster?s	Food/Household							Food/Household	V?ster?s
