date	week	weekday	value	currency	target	Food/Household	Local Transport	Rent	Sport	Phone/Internet	Fees	Special	category	place
2012-11-05	46	1	150.00	sek	KTH something							Unclassified	Unclassified	Stockholm
2012-11-06	46	2	65.20	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2012-11-07	46	3	79.00	sek	Bus to Stockholm Airport (Moscow)							Travels	Travels	Stockholm
2012-11-07	46	3	79.00	sek	Bus from Stockholm Airport (Moscow)							Travels	Travels	Stockholm
2012-11-09	46	5	200.84	sek (from rur x4.979)	Cash							Cash	Cash	Moscow
2012-11-09	46	5	128.54	sek (from rur x4.979)	Aeroexpress Moscow							Travels	Travels	Moscow
2012-11-13	47	2	47.65	sek (from rur x4.979)	Food in Moscow							Food/Household	Food/Household	Moscow
2012-11-18	47	7	266.01	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2012-11-22	48	4	63.74	sek	Kista Grossen	Food/Household							Food/Household	Stockholm
2012-12-01	49	6	2050.00	sek	KTH Kista Rent			Rent					Rent	Stockholm
2012-11-28	49	3	560.00	sek	SL monthly fee		Local Transport						Local Transport	Stockholm
2012-11-30	49	5	100.42	sek (from rur x4.979)	Card fee						Fees		Fees	Stockholm
2012-12-02	49	7	186.98	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2012-12-07	50	5	13.00	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2012-12-10	51	1	300.00	sek	Cash							Cash	Cash	Stockholm
2012-12-13	51	4	31.95	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2012-12-16	51	7	50.00	sek	Cristmas market - hearts							Presents	Presents	Stockholm
2012-12-16	51	7	40.00	sek	Cristmas market - souveniers							Presents	Presents	Stockholm
2012-12-16	51	7	59.00	sek	Cristmas market - souveniers							Presents	Presents	Stockholm
2012-12-16	51	7	234.24	sek	Lidl Stockholm	Food/Household							Food/Household	Stockholm
2012-12-16	51	7	174.00	sek	Cristmas market - earrings from Halldor							Presents	Presents	Stockholm
2012-12-16	51	7	45.00	sek	Cristmas market							Presents	Presents	Stockholm
2012-12-19	52	3	123.00	sek	ICA Stockholm	Food/Household							Food/Household	Stockholm
2012-12-20	52	4	400.00	sek	Cash							Cash	Cash	Stockholm
2012-12-20	52	4	100.00	sek	Cash							Cash	Cash	Stockholm
2012-12-20	52	4	50.00	sek	Comviq Amigos 50					Phone/Internet			Phone/Internet	Stockholm
