geo,time,population
zaf,1996,40583572.87
zaf,2001,44819777.73
zaf,2011,51770560.22
asia,2016,
europe,2016,
africa,2016,
americas,2016,
asia,1800,
europe,1800,
africa,1800,
americas,1800,
